id_num,question,answer
1,How does the Optic ID work for the Vision Pro?,"Optic ID data is encrypted, never leaves your device, and is accessible only to the Secure Enclave processor."
2,What security is in place for the Vision Pro?,"Use Optic ID to authorize purchases and unlock passwords with the uniqueness of your iris. Optic ID data is encrypted, never leaves your device, and is accessible only to the Secure Enclave processor."
3,What chips are used in the Vision Pro?,"A unique dual‑chip design enables the spatial experiences on Vision Pro. The powerful M2 chip simultaneously runs visionOS, executes advanced computer vision algorithms, and delivers stunning graphics, all with incredible efficiency. And the brand-new R1 chip is specifically dedicated to process input from the cameras, sensors, and microphones, streaming images to the displays within 12 milliseconds — for a virtually lag-free, real-time view of the world."
4,What kind of chip is used for input and sensors in the Vision Pro?,"And the brand-new R1 chip is specifically dedicated to process input from the cameras, sensors, and microphones, streaming images to the displays within 12 milliseconds — for a virtually lag-free, real-time view of the world."
5,What kind of chip is used for the display in the Vision Pro?,"The powerful M2 chip simultaneously runs visionOS, executes advanced computer vision algorithms, and delivers stunning graphics, all with incredible efficiency."
6,Will I be able to see the world in real time with the displays in the Vision Pro?,"A pair of high-resolution cameras transmit over one billion pixels per second to the displays so you can see the world around you clearly. The system also helps deliver precise head and hand tracking and real‑time 3D mapping, all while understanding your hand gestures from a wide range of positions."
7,How many pixels per second will the displays in the Vision Pro transmit?,"A pair of high-resolution cameras transmit over one billion pixels per second to the displays so you can see the world around you clearly. The system also helps deliver precise head and hand tracking and real‑time 3D mapping, all while understanding your hand gestures from a wide range of positions."
8,How will I select things without a controller for the Vision Pro?,"A high-performance eye tracking system of LEDs and infrared cameras projects invisible light patterns onto each eye. This advanced system provides ultraprecise input without your needing to hold any controllers, so you can accurately select elements just by looking at them."
9,How will the eye cameras work in the Vision Pro?,"A high-performance eye tracking system of LEDs and infrared cameras projects invisible light patterns onto each eye. This advanced system provides ultraprecise input without your needing to hold any controllers, so you can accurately select elements just by looking at them."
10,How will the Ambient Spatial audio work for the Vision Pro?,"Dual-driver audio pods positioned next to each ear deliver personalized sound while letting you hear what’s around you. Ambient Spatial Audio makes sounds feel like they’re coming from your surroundings. And with audio raytracing, Vision Pro analyzes your room’s acoustic properties — including the physical materials — to adapt and match sound to your space."
